"'Earnings","'rate","'hours","'this period","'year to date",
"'Regular","'10.00","'32.00","'320.00","'16,640.00",
"'Overtime","'15.00","'1.00","'15.00","'780.00",
"'Holiday","'10.00","'8.00","'80.00","'4,160.00",
"'Tuition","'","'","'37.43*","'1,946.80",
"'","'Gross","'Pay","'$ 452.43","'23,526.80",
,,,,

'Confidence Scores % (Table Cell)
""'40.60058594","'36.93847656","'38.74511719","'38.52539063","'39.99023438",
"'84.86328125","'77.24609375","'81.00585938","'80.56640625","'83.59375000",
"'88.18359375","'80.22460938","'84.17968750","'83.64257813","'86.86523438",
"'82.22656250","'74.80468750","'78.46679688","'77.97851563","'80.95703125",
"'78.66210938","'71.58203125","'75.09765625","'74.60937500","'77.49023438",
"'42.13867188","'50.00000000","'50.00000000","'39.99023438","'41.50390625",
