"'Deductions","'Statutory Federal Income Tax","'-40.60","'2,111.20",
"'","'Social Security Tax","'-28.05","'1,458.60",
"'","'Medicare Tax","'-6.56","'341.12",
"'","'NY State Income Tax","'-8.43","'438.36",
"'","'NYC Income Tax","'-5.94","'308.88",
"'","'NY SUI/SDI Tax Other","'-0.60","'31.20",
"'","'Bond","'-5.00","'100.00",
"'","'401(k)","'-28.85'","'1,500.20",
"'","'Stock Plan","'-15.00","'150.00",
"'","'Life Insurance","'-5.00","'50.00",
"'","'Loan","'-30.00","'150.00",
"'","'Adjustment","'","'",
"'","'Life Insurance","'+ 13.50","'",
"'","'Net Pay","'$291.90","'",
,,,

'Confidence Scores % (Table Cell)
""'76.22070313","'71.09375000","'64.94140625","'76.66015625",
"'60.74218750","'64.06250000","'58.54492188","'69.09179688",
"'60.74218750","'63.86718750","'58.39843750","'68.89648438",
"'60.74218750","'67.87109375","'62.01171875","'73.19335938",
"'60.74218750","'61.27929688","'56.00585938","'66.06445313",
"'60.74218750","'41.38183594","'37.81738281","'44.62890625",
"'60.74218750","'68.11523438","'62.25585938","'73.48632813",
"'60.74218750","'58.88671875","'53.80859375","'63.47656250",
"'60.74218750","'63.67187500","'58.15429688","'68.65234375",
"'60.74218750","'60.69335938","'55.46875000","'65.47851563",
"'60.74218750","'71.14257813","'64.99023438","'76.70898438",
"'60.74218750","'37.52441406","'37.52441406","'37.52441406",
"'60.74218750","'41.38183594","'37.81738281","'44.62890625",
"'60.74218750","'40.89355469","'37.37792969","'44.11621094",
